,date,ML,Low,High
Ananindeua,2020-03-29,2.0,0.34,6.43
Ananindeua,2020-03-30,1.8800000000000001,0.38,5.01
Ananindeua,2020-03-31,1.8,0.38,4.45
Ananindeua,2020-04-01,1.74,0.4,4.13
Ananindeua,2020-04-02,1.69,0.37,3.85
Ananindeua,2020-04-03,1.6400000000000001,0.4,3.7
Ananindeua,2020-04-04,1.61,0.41000000000000003,3.56
Ananindeua,2020-04-05,1.0,0.0,3.35
Ananindeua,2020-04-06,1.0,0.0,3.35
Ananindeua,2020-04-07,1.53,0.0,3.66
Ananindeua,2020-04-08,1.47,0.0,3.49
Ananindeua,2020-04-09,1.42,0.0,3.34
Ananindeua,2020-04-10,1.3800000000000001,0.0,3.22
Ananindeua,2020-04-11,1.67,0.01,3.35
Ananindeua,2020-04-12,1.83,0.11,3.44
Ananindeua,2020-04-13,1.69,0.09,3.16
Ananindeua,2020-04-14,1.76,0.24,3.22
Ananindeua,2020-04-15,1.79,0.34,3.15
Ananindeua,2020-04-16,1.78,0.42,3.0300000000000002
Ananindeua,2020-04-17,1.75,0.49,2.9
Ananindeua,2020-04-18,1.6300000000000001,0.46,2.69
Ananindeua,2020-04-19,1.47,0.38,2.47
Ananindeua,2020-04-20,1.49,0.48,2.47
Ananindeua,2020-04-21,1.49,0.53,2.41
Ananindeua,2020-04-22,1.44,0.52,2.3000000000000003
Ananindeua,2020-04-23,1.49,0.65,2.34
Ananindeua,2020-04-24,1.52,0.71,2.29
Ananindeua,2020-04-25,1.46,0.6900000000000001,2.18
Ananindeua,2020-04-26,1.41,0.7000000000000001,2.12
Ananindeua,2020-04-27,1.37,0.7000000000000001,2.06
Ananindeua,2020-04-28,1.34,0.6900000000000001,1.99
Ananindeua,2020-04-29,1.44,0.8200000000000001,2.05
Ananindeua,2020-04-30,1.46,0.88,2.04
Ananindeua,2020-05-01,1.53,0.99,2.08
Aracaju,2020-03-14,2.0,0.34,6.43
Aracaju,2020-03-16,1.8,0.38,4.45
Aracaju,2020-03-18,1.69,0.37,3.85
Aracaju,2020-03-20,1.61,0.41000000000000003,3.56
Aracaju,2020-03-21,1.55,0.38,3.29
Aracaju,2020-03-24,1.5,0.39,3.13
Aracaju,2020-03-25,1.46,0.39,2.99
Aracaju,2020-03-27,1.0,0.0,2.69
Aracaju,2020-03-30,1.0,0.0,2.69
Aracaju,2020-03-31,1.0,0.0,2.69
Aracaju,2020-04-01,1.0,0.0,2.69
Aracaju,2020-04-02,1.0,0.0,2.69
