,date,ML,Low,High
AC,2020-03-17,2.0,0.34,6.43
AC,2020-03-18,1.8800000000000001,0.38,5.01
AC,2020-03-19,2.17,0.51,4.99
AC,2020-03-20,1.96,0.5,4.24
AC,2020-03-21,2.08,0.58,4.09
AC,2020-03-22,1.8900000000000001,0.54,3.62
AC,2020-03-23,1.77,0.55,3.36
AC,2020-03-24,1.5,0.01,2.99
AC,2020-03-25,1.23,0.0,2.69
AC,2020-03-26,1.0,0.0,2.49
AC,2020-03-27,1.22,0.0,2.64
AC,2020-03-28,1.0,0.0,2.45
AC,2020-03-29,1.21,0.01,2.61
AC,2020-03-30,1.2,0.0,2.5500000000000003
AC,2020-03-31,1.0,0.0,2.38
AC,2020-04-01,1.0,0.0,2.38
AC,2020-04-02,1.0,0.0,2.38
AC,2020-04-03,0.6,0.0,2.13
AC,2020-04-04,0.56,0.0,2.18
AC,2020-04-05,0.5,0.0,2.23
AC,2020-04-06,0.43,0.0,2.3000000000000003
AC,2020-04-07,1.0,0.0,2.75
AC,2020-04-08,1.57,0.01,3.15
AC,2020-04-09,1.73,0.11,3.2600000000000002
AC,2020-04-10,1.8,0.22,3.2600000000000002
AC,2020-04-11,1.82,0.34,3.2
AC,2020-04-12,1.68,0.29,2.92
AC,2020-04-13,1.69,0.43,2.91
AC,2020-04-14,1.59,0.42,2.73
AC,2020-04-15,1.51,0.4,2.57
AC,2020-04-16,1.52,0.49,2.5500000000000003
AC,2020-04-17,1.53,0.55,2.49
AC,2020-04-18,1.46,0.53,2.36
AC,2020-04-19,1.47,0.58,2.31
AC,2020-04-20,1.37,0.53,2.18
AC,2020-04-21,1.3,0.49,2.08
AC,2020-04-22,1.24,0.45,1.99
AC,2020-04-23,1.1500000000000001,0.4,1.9100000000000001
AC,2020-04-24,1.1500000000000001,0.39,1.87
AC,2020-04-25,1.1400000000000001,0.42,1.8800000000000001
AC,2020-04-26,1.1400000000000001,0.43,1.87
AC,2020-04-27,1.26,0.5700000000000001,1.97
AC,2020-04-28,1.36,0.7000000000000001,2.04
AC,2020-04-29,1.41,0.78,2.05
AC,2020-04-30,1.47,0.87,2.07
AL,2020-03-17,2.0,0.34,6.43
AL,2020-03-18,1.8800000000000001,0.38,5.01
AL,2020-03-19,1.8,0.38,4.45
AL,2020-03-20,1.74,0.4,4.13
AL,2020-03-21,1.69,0.37,3.85
AL,2020-03-22,1.6400000000000001,0.4,3.7
AL,2020-03-23,1.61,0.41000000000000003,3.56
AL,2020-03-24,1.0,0.0,3.35
AL,2020-03-25,1.0,0.0,3.35
AL,2020-03-26,1.0,0.0,3.35
AL,2020-03-27,1.0,0.0,3.35
AL,2020-03-28,1.0,0.0,3.35
AL,2020-03-29,1.0,0.0,3.35
AL,2020-03-30,1.0,0.0,3.35
AL,2020-03-31,1.0,0.0,3.35
AL,2020-04-01,1.0,0.0,3.35
AL,2020-04-02,1.0,0.0,3.35
AL,2020-04-03,1.53,0.0,3.66
AL,2020-04-04,1.8900000000000001,0.01,3.7800000000000002
AL,2020-04-05,1.73,0.01,3.47
AL,2020-04-06,1.62,0.0,3.23
